,ID,NAME,TYPE,BASE STAT,HP,ATTACK,DEFENSE,SP ATTACK,SP DEFENSE,SPEED
3,3,Venusaur Mega Venusaur,Grass Poison,625.0,80.0,100.0,123.0,122.0,120.0,80.0
7,6,Charizard Mega Charizard X,Fire Dragon,634.0,78.0,130.0,111.0,130.0,85.0,100.0
8,6,Charizard Mega Charizard Y,Fire Flying,634.0,78.0,104.0,78.0,159.0,115.0,100.0
12,9,Blastoise Mega Blastoise,Water ,630.0,79.0,103.0,120.0,135.0,115.0,78.0
19,15,Beedrill Mega Beedrill,Bug Poison,495.0,65.0,150.0,40.0,15.0,80.0,145.0
23,18,Pidgeot Mega Pidgeot,Normal Flying,579.0,83.0,80.0,80.0,135.0,80.0,121.0
84,65,Alakazam Mega Alakazam,Psychic ,600.0,55.0,50.0,65.0,175.0,105.0,150.0
106,80,Slowbro Mega Slowbro,Water Psychic,590.0,95.0,75.0,180.0,130.0,80.0,30.0
125,94,Gengar Mega Gengar,Ghost Poison,600.0,60.0,65.0,80.0,170.0,95.0,130.0
150,115,Kangaskhan Mega Kangaskhan,Normal ,590.0,105.0,125.0,100.0,60.0,100.0,100.0
164,127,Pinsir Mega Pinsir,Bug Flying,600.0,65.0,155.0,120.0,65.0,90.0,105.0
168,130,Gyarados Mega Gyarados,Water Dark,640.0,95.0,155.0,109.0,70.0,130.0,81.0
182,142,Aerodactyl Mega Aerodactyl,Rock Flying,615.0,80.0,135.0,85.0,70.0,95.0,150.0
191,150,Mewtwo Mega Mewtwo X,Psychic Fighting,780.0,106.0,190.0,100.0,154.0,100.0,130.0
192,150,Mewtwo Mega Mewtwo Y,Psychic ,780.0,106.0,150.0,70.0,194.0,120.0,140.0
224,181,Ampharos Mega Ampharos,Electric Dragon,610.0,90.0,95.0,105.0,165.0,110.0,45.0
252,208,Steelix Mega Steelix,Steel Ground,610.0,75.0,125.0,230.0,55.0,95.0,30.0
257,212,Scizor Mega Scizor,Bug Steel,600.0,70.0,150.0,140.0,65.0,100.0,75.0
260,214,Heracross Mega Heracross,Bug Fighting,600.0,80.0,185.0,115.0,40.0,105.0,75.0
277,229,Houndoom Mega Houndoom,Dark Fire,600.0,75.0,90.0,90.0,140.0,90.0,115.0
297,248,Tyranitar Mega Tyranitar,Rock Dark,700.0,100.0,164.0,150.0,95.0,120.0,71.0
304,254,Sceptile Mega Sceptile,Grass Dragon,630.0,70.0,110.0,75.0,145.0,85.0,145.0
308,257,Blaziken Mega Blaziken,Fire Fighting,630.0,80.0,160.0,80.0,130.0,80.0,100.0
312,260,Swampert Mega Swampert,Water Ground,635.0,100.0,150.0,110.0,95.0,110.0,70.0
337,282,Gardevoir Mega Gardevoir,Psychic Fairy,618.0,68.0,85.0,65.0,165.0,135.0,100.0
358,302,Sableye Mega Sableye,Dark Ghost,480.0,50.0,85.0,125.0,85.0,115.0,20.0
360,303,Mawile Mega Mawile,Steel Fairy,480.0,50.0,105.0,125.0,55.0,95.0,50.0
364,306,Aggron Mega Aggron,Steel ,630.0,70.0,140.0,230.0,60.0,80.0,50.0
367,308,Medicham Mega Medicham,Fighting Psychic,510.0,60.0,100.0,85.0,80.0,85.0,100.0
370,310,Manectric Mega Manectric,Electric ,575.0,70.0,75.0,80.0,135.0,80.0,135.0
380,319,Sharpedo Mega Sharpedo,Water Dark,560.0,70.0,140.0,70.0,110.0,65.0,105.0
385,323,Camerupt Mega Camerupt,Fire Ground,560.0,70.0,120.0,100.0,145.0,105.0,20.0
397,334,Altaria Mega Altaria,Dragon Fairy,590.0,75.0,110.0,110.0,110.0,105.0,80.0
421,354,Banette Mega Banette,Ghost ,555.0,64.0,165.0,75.0,93.0,83.0,75.0
427,359,Absol Mega Absol,Dark ,565.0,65.0,150.0,60.0,115.0,60.0,115.0
431,362,Glalie Mega Glalie,Ice ,580.0,80.0,120.0,80.0,120.0,80.0,100.0
443,373,Salamence Mega Salamence,Dragon Flying,700.0,95.0,145.0,130.0,120.0,90.0,120.0
447,376,Metagross Mega Metagross,Steel Psychic,700.0,80.0,145.0,150.0,105.0,110.0,110.0
452,380,Latias Mega Latias,Dragon Psychic,700.0,80.0,100.0,120.0,140.0,150.0,110.0
454,381,Latios Mega Latios,Dragon Psychic,700.0,80.0,130.0,100.0,160.0,120.0,110.0
460,384,Rayquaza Mega Rayquaza,Dragon Flying,780.0,105.0,180.0,100.0,180.0,100.0,115.0
510,428,Lopunny Mega Lopunny,Normal Fighting,580.0,65.0,136.0,94.0,54.0,96.0,135.0
528,445,Garchomp Mega Garchomp,Dragon Ground,700.0,108.0,170.0,115.0,120.0,95.0,92.0
532,448,Lucario Mega Lucario,Fighting Steel,625.0,70.0,145.0,88.0,140.0,70.0,112.0
545,460,Abomasnow Mega Abomasnow,Grass Ice,594.0,90.0,132.0,105.0,132.0,105.0,30.0
561,475,Gallade Mega Gallade,Psychic Fighting,618.0,68.0,165.0,95.0,65.0,115.0,110.0
