,ID,NAME,TYPE,BASE STAT,HP,ATTACK,DEFENSE,SP ATTACK,SP DEFENSE,SPEED
545,457,Lumineon,Water ,460.0,69.0,69.0,76.0,69.0,86.0,91.0
546,458,Mantyke,Water Flying,345.0,45.0,20.0,50.0,60.0,120.0,50.0
547,459,Snover,Grass Ice,334.0,60.0,62.0,50.0,62.0,60.0,40.0
548,460,Abomasnow,Grass Ice,494.0,90.0,92.0,75.0,92.0,85.0,60.0
549,460,Abomasnow Mega Abomasnow,Grass Ice,594.0,90.0,132.0,105.0,132.0,105.0,30.0
550,461,Weavile,Dark Ice,510.0,70.0,120.0,65.0,45.0,85.0,125.0
551,462,Magnezone,Electric Steel,535.0,70.0,70.0,115.0,130.0,90.0,60.0
552,463,Lickilicky,Normal ,515.0,110.0,85.0,95.0,80.0,95.0,50.0
553,464,Rhyperior,Ground Rock,535.0,115.0,140.0,130.0,55.0,55.0,40.0
554,465,Tangrowth,Grass ,535.0,100.0,100.0,125.0,110.0,50.0,50.0
555,466,Electivire,Electric ,540.0,75.0,123.0,67.0,95.0,85.0,95.0
556,467,Magmortar,Fire ,540.0,75.0,95.0,67.0,125.0,95.0,83.0
557,468,Togekiss,Fairy Flying,545.0,85.0,50.0,95.0,120.0,115.0,80.0
558,469,Yanmega,Bug Flying,515.0,86.0,76.0,86.0,116.0,56.0,95.0
559,470,Leafeon,Grass ,525.0,65.0,110.0,130.0,60.0,65.0,95.0
560,471,Glaceon,Ice ,525.0,65.0,60.0,110.0,130.0,95.0,65.0
561,472,Gliscor,Ground Flying,510.0,75.0,95.0,125.0,45.0,75.0,95.0
562,473,Mamoswine,Ice Ground,530.0,110.0,130.0,80.0,70.0,60.0,80.0
563,474,Porygon-Z,Normal ,535.0,85.0,80.0,70.0,135.0,75.0,90.0
564,475,Gallade,Psychic Fighting,518.0,68.0,125.0,65.0,65.0,115.0,80.0
565,475,Gallade Mega Gallade,Psychic Fighting,618.0,68.0,165.0,95.0,65.0,115.0,110.0
566,476,Probopass,Rock Steel,525.0,60.0,55.0,145.0,75.0,150.0,40.0
567,477,Dusknoir,Ghost ,525.0,45.0,100.0,135.0,65.0,135.0,45.0
568,478,Froslass,Ice Ghost,480.0,70.0,80.0,70.0,80.0,70.0,110.0
569,479,Rotom,Electric Ghost,440.0,50.0,50.0,77.0,95.0,77.0,91.0
570,479,Rotom Heat Rotom,Electric Fire,520.0,50.0,65.0,107.0,105.0,107.0,86.0
571,479,Rotom Wash Rotom,Electric Water,520.0,50.0,65.0,107.0,105.0,107.0,86.0
572,479,Rotom Frost Rotom,Electric Ice,520.0,50.0,65.0,107.0,105.0,107.0,86.0
573,479,Rotom Fan Rotom,Electric Flying,520.0,50.0,65.0,107.0,105.0,107.0,86.0
574,479,Rotom Mow Rotom,Electric Grass,520.0,50.0,65.0,107.0,105.0,107.0,86.0
575,480,Uxie,Psychic ,580.0,75.0,75.0,130.0,75.0,130.0,95.0
576,481,Mesprit,Psychic ,580.0,80.0,105.0,105.0,105.0,105.0,80.0
577,482,Azelf,Psychic ,580.0,75.0,125.0,70.0,125.0,70.0,115.0
578,483,Dialga,Steel Dragon,680.0,100.0,120.0,120.0,150.0,100.0,90.0
579,484,Palkia,Water Dragon,680.0,90.0,120.0,100.0,150.0,120.0,100.0
580,485,Heatran,Fire Steel,600.0,91.0,90.0,106.0,130.0,106.0,77.0
581,486,Regigigas,Normal ,670.0,110.0,160.0,110.0,80.0,110.0,100.0
582,487,Giratina Altered Forme,Ghost Dragon,680.0,150.0,100.0,120.0,100.0,120.0,90.0
583,487,Giratina Origin Forme,Ghost Dragon,680.0,150.0,120.0,100.0,120.0,100.0,90.0
584,488,Cresselia,Psychic ,600.0,120.0,70.0,120.0,75.0,130.0,85.0
585,489,Phione,Water ,480.0,80.0,80.0,80.0,80.0,80.0,80.0
586,490,Manaphy,Water ,600.0,100.0,100.0,100.0,100.0,100.0,100.0
587,491,Darkrai,Dark ,600.0,70.0,90.0,90.0,135.0,90.0,125.0
588,492,Shaymin Land Forme,Grass ,600.0,100.0,100.0,100.0,100.0,100.0,100.0
589,492,Shaymin Sky Forme,Grass Flying,600.0,100.0,103.0,75.0,120.0,75.0,127.0
590,493,Arceus,Normal ,720.0,120.0,120.0,120.0,120.0,120.0,120.0
591,494,Victini,Psychic Fire,600.0,100.0,100.0,100.0,100.0,100.0,100.0
592,495,Snivy,Grass ,308.0,45.0,45.0,55.0,45.0,55.0,63.0
593,496,Servine,Grass ,413.0,60.0,60.0,75.0,60.0,75.0,83.0
594,497,Serperior,Grass ,528.0,75.0,75.0,95.0,75.0,95.0,113.0
595,498,Tepig,Fire ,308.0,65.0,63.0,45.0,45.0,45.0,45.0
596,499,Pignite,Fire Fighting,418.0,90.0,93.0,55.0,70.0,55.0,55.0
597,500,Emboar,Fire Fighting,528.0,110.0,123.0,65.0,100.0,65.0,65.0
598,501,Oshawott,Water ,308.0,55.0,55.0,45.0,63.0,45.0,45.0
599,502,Dewott,Water ,413.0,75.0,75.0,60.0,83.0,60.0,60.0
600,503,Samurott,Water ,528.0,95.0,100.0,85.0,108.0,70.0,70.0
601,504,Patrat,Normal ,255.0,45.0,55.0,39.0,35.0,39.0,42.0
602,505,Watchog,Normal ,420.0,60.0,85.0,69.0,60.0,69.0,77.0
603,506,Lillipup,Normal ,275.0,45.0,60.0,45.0,25.0,45.0,55.0
604,507,Herdier,Normal ,370.0,65.0,80.0,65.0,35.0,65.0,60.0
605,508,Stoutland,Normal ,500.0,85.0,110.0,90.0,45.0,90.0,80.0
606,509,Purrloin,Dark ,281.0,41.0,50.0,37.0,50.0,37.0,66.0
607,510,Liepard,Dark ,446.0,64.0,88.0,50.0,88.0,50.0,106.0
608,511,Pansage,Grass ,316.0,50.0,53.0,48.0,53.0,48.0,64.0
609,512,Simisage,Grass ,498.0,75.0,98.0,63.0,98.0,63.0,101.0
610,513,Pansear,Fire ,316.0,50.0,53.0,48.0,53.0,48.0,64.0
611,514,Simisear,Fire ,498.0,75.0,98.0,63.0,98.0,63.0,101.0
612,515,Panpour,Water ,316.0,50.0,53.0,48.0,53.0,48.0,64.0
613,516,Simipour,Water ,498.0,75.0,98.0,63.0,98.0,63.0,101.0
614,517,Munna,Psychic ,292.0,76.0,25.0,45.0,67.0,55.0,24.0
615,518,Musharna,Psychic ,487.0,116.0,55.0,85.0,107.0,95.0,29.0
616,519,Pidove,Normal Flying,264.0,50.0,55.0,50.0,36.0,30.0,43.0
617,520,Tranquill,Normal Flying,358.0,62.0,77.0,62.0,50.0,42.0,65.0
618,521,Unfezant,Normal Flying,488.0,80.0,115.0,80.0,65.0,55.0,93.0
619,522,Blitzle,Electric ,295.0,45.0,60.0,32.0,50.0,32.0,76.0
620,523,Zebstrika,Electric ,497.0,75.0,100.0,63.0,80.0,63.0,116.0
621,524,Roggenrola,Rock ,280.0,55.0,75.0,85.0,25.0,25.0,15.0
622,525,Boldore,Rock ,390.0,70.0,105.0,105.0,50.0,40.0,20.0
623,526,Gigalith,Rock ,515.0,85.0,135.0,130.0,60.0,80.0,25.0
624,527,Woobat,Psychic Flying,323.0,65.0,45.0,43.0,55.0,43.0,72.0
625,528,Swoobat,Psychic Flying,425.0,67.0,57.0,55.0,77.0,55.0,114.0
626,529,Drilbur,Ground ,328.0,60.0,85.0,40.0,30.0,45.0,68.0
627,530,Excadrill,Ground Steel,508.0,110.0,135.0,60.0,50.0,65.0,88.0
628,531,Audino,Normal ,445.0,103.0,60.0,86.0,60.0,86.0,50.0
629,531,Audino Mega Audino,Normal Fairy,545.0,103.0,60.0,126.0,80.0,126.0,50.0
630,532,Timburr,Fighting ,305.0,75.0,80.0,55.0,25.0,35.0,35.0
631,533,Gurdurr,Fighting ,405.0,85.0,105.0,85.0,40.0,50.0,40.0
632,534,Conkeldurr,Fighting ,505.0,105.0,140.0,95.0,55.0,65.0,45.0
633,535,Tympole,Water ,294.0,50.0,50.0,40.0,50.0,40.0,64.0
634,536,Palpitoad,Water Ground,384.0,75.0,65.0,55.0,65.0,55.0,69.0
635,537,Seismitoad,Water Ground,509.0,105.0,95.0,75.0,85.0,75.0,74.0
636,538,Throh,Fighting ,465.0,120.0,100.0,85.0,30.0,85.0,45.0
637,539,Sawk,Fighting ,465.0,75.0,125.0,75.0,30.0,75.0,85.0
638,540,Sewaddle,Bug Grass,310.0,45.0,53.0,70.0,40.0,60.0,42.0
639,541,Swadloon,Bug Grass,380.0,55.0,63.0,90.0,50.0,80.0,42.0
640,542,Leavanny,Bug Grass,500.0,75.0,103.0,80.0,70.0,80.0,92.0
641,543,Venipede,Bug Poison,260.0,30.0,45.0,59.0,30.0,39.0,57.0
642,544,Whirlipede,Bug Poison,360.0,40.0,55.0,99.0,40.0,79.0,47.0
643,545,Scolipede,Bug Poison,485.0,60.0,100.0,89.0,55.0,69.0,112.0
644,546,Cottonee,Grass Fairy,280.0,40.0,27.0,60.0,37.0,50.0,66.0
645,547,Whimsicott,Grass Fairy,480.0,60.0,67.0,85.0,77.0,75.0,116.0
646,548,Petilil,Grass ,280.0,45.0,35.0,50.0,70.0,50.0,30.0
647,549,Lilligant,Grass ,480.0,70.0,60.0,75.0,110.0,75.0,90.0
648,550,Basculin Red-Striped Form,Water ,460.0,70.0,92.0,65.0,80.0,55.0,98.0
649,550,Basculin Blue-Striped Form,Water ,460.0,70.0,92.0,65.0,80.0,55.0,98.0
650,551,Sandile,Ground Dark,292.0,50.0,72.0,35.0,35.0,35.0,65.0
651,552,Krokorok,Ground Dark,351.0,60.0,82.0,45.0,45.0,45.0,74.0
652,553,Krookodile,Ground Dark,519.0,95.0,117.0,80.0,65.0,70.0,92.0
653,554,Darumaka,Fire ,315.0,70.0,90.0,45.0,15.0,45.0,50.0
654,554,Darumaka Galarian Darumaka,Ice ,315.0,70.0,90.0,45.0,15.0,45.0,50.0
655,555,Darmanitan Standard Mode,Fire ,480.0,105.0,140.0,55.0,30.0,55.0,95.0
656,555,Darmanitan Zen Mode,Fire Psychic,540.0,105.0,30.0,105.0,140.0,105.0,55.0
657,555,Darmanitan Galarian Standard Mode,Ice ,480.0,105.0,140.0,55.0,30.0,55.0,95.0
658,555,Darmanitan Galarian Zen Mode,Ice Fire,540.0,105.0,160.0,55.0,30.0,55.0,135.0
659,556,Maractus,Grass ,461.0,75.0,86.0,67.0,106.0,67.0,60.0
660,557,Dwebble,Bug Rock,325.0,50.0,65.0,85.0,35.0,35.0,55.0
661,558,Crustle,Bug Rock,485.0,70.0,105.0,125.0,65.0,75.0,45.0
662,559,Scraggy,Dark Fighting,348.0,50.0,75.0,70.0,35.0,70.0,48.0
663,560,Scrafty,Dark Fighting,488.0,65.0,90.0,115.0,45.0,115.0,58.0
664,561,Sigilyph,Psychic Flying,490.0,72.0,58.0,80.0,103.0,80.0,97.0
665,562,Yamask,Ghost ,303.0,38.0,30.0,85.0,55.0,65.0,30.0
666,562,Yamask Galarian Yamask,Ground Ghost,303.0,38.0,55.0,85.0,30.0,65.0,30.0
667,563,Cofagrigus,Ghost ,483.0,58.0,50.0,145.0,95.0,105.0,30.0
668,564,Tirtouga,Water Rock,355.0,54.0,78.0,103.0,53.0,45.0,22.0
669,565,Carracosta,Water Rock,495.0,74.0,108.0,133.0,83.0,65.0,32.0
670,566,Archen,Rock Flying,401.0,55.0,112.0,45.0,74.0,45.0,70.0
671,567,Archeops,Rock Flying,567.0,75.0,140.0,65.0,112.0,65.0,110.0
672,568,Trubbish,Poison ,329.0,50.0,50.0,62.0,40.0,62.0,65.0
673,569,Garbodor,Poison ,474.0,80.0,95.0,82.0,60.0,82.0,75.0
674,570,Zorua,Dark ,330.0,40.0,65.0,40.0,80.0,40.0,65.0
675,571,Zoroark,Dark ,510.0,60.0,105.0,60.0,120.0,60.0,105.0
676,572,Minccino,Normal ,300.0,55.0,50.0,40.0,40.0,40.0,75.0
677,573,Cinccino,Normal ,470.0,75.0,95.0,60.0,65.0,60.0,115.0
678,574,Gothita,Psychic ,290.0,45.0,30.0,50.0,55.0,65.0,45.0
679,575,Gothorita,Psychic ,390.0,60.0,45.0,70.0,75.0,85.0,55.0
680,576,Gothitelle,Psychic ,490.0,70.0,55.0,95.0,95.0,110.0,65.0
681,577,Solosis,Psychic ,290.0,45.0,30.0,40.0,105.0,50.0,20.0
682,578,Duosion,Psychic ,370.0,65.0,40.0,50.0,125.0,60.0,30.0
683,579,Reuniclus,Psychic ,490.0,110.0,65.0,75.0,125.0,85.0,30.0
684,580,Ducklett,Water Flying,305.0,62.0,44.0,50.0,44.0,50.0,55.0
685,581,Swanna,Water Flying,473.0,75.0,87.0,63.0,87.0,63.0,98.0
686,582,Vanillite,Ice ,305.0,36.0,50.0,50.0,65.0,60.0,44.0
687,583,Vanillish,Ice ,395.0,51.0,65.0,65.0,80.0,75.0,59.0
688,584,Vanilluxe,Ice ,535.0,71.0,95.0,85.0,110.0,95.0,79.0
689,585,Deerling,Normal Grass,335.0,60.0,60.0,50.0,40.0,50.0,75.0
690,586,Sawsbuck,Normal Grass,475.0,80.0,100.0,70.0,60.0,70.0,95.0
691,587,Emolga,Electric Flying,428.0,55.0,75.0,60.0,75.0,60.0,103.0
692,588,Karrablast,Bug ,315.0,50.0,75.0,45.0,40.0,45.0,60.0
693,589,Escavalier,Bug Steel,495.0,70.0,135.0,105.0,60.0,105.0,20.0
694,590,Foongus,Grass Poison,294.0,69.0,55.0,45.0,55.0,55.0,15.0
695,591,Amoonguss,Grass Poison,464.0,114.0,85.0,70.0,85.0,80.0,30.0
696,592,Frillish,Water Ghost,335.0,55.0,40.0,50.0,65.0,85.0,40.0
697,593,Jellicent,Water Ghost,480.0,100.0,60.0,70.0,85.0,105.0,60.0
698,594,Alomomola,Water ,470.0,165.0,75.0,80.0,40.0,45.0,65.0
699,595,Joltik,Bug Electric,319.0,50.0,47.0,50.0,57.0,50.0,65.0
700,596,Galvantula,Bug Electric,472.0,70.0,77.0,60.0,97.0,60.0,108.0
701,597,Ferroseed,Grass Steel,305.0,44.0,50.0,91.0,24.0,86.0,10.0
702,598,Ferrothorn,Grass Steel,489.0,74.0,94.0,131.0,54.0,116.0,20.0
703,599,Klink,Steel ,300.0,40.0,55.0,70.0,45.0,60.0,30.0
704,600,Klang,Steel ,440.0,60.0,80.0,95.0,70.0,85.0,50.0
705,601,Klinklang,Steel ,520.0,60.0,100.0,115.0,70.0,85.0,90.0
706,602,Tynamo,Electric ,275.0,35.0,55.0,40.0,45.0,40.0,60.0
707,603,Eelektrik,Electric ,405.0,65.0,85.0,70.0,75.0,70.0,40.0
708,604,Eelektross,Electric ,515.0,85.0,115.0,80.0,105.0,80.0,50.0
709,605,Elgyem,Psychic ,335.0,55.0,55.0,55.0,85.0,55.0,30.0
710,606,Beheeyem,Psychic ,485.0,75.0,75.0,75.0,125.0,95.0,40.0
711,607,Litwick,Ghost Fire,275.0,50.0,30.0,55.0,65.0,55.0,20.0
712,608,Lampent,Ghost Fire,370.0,60.0,40.0,60.0,95.0,60.0,55.0
713,609,Chandelure,Ghost Fire,520.0,60.0,55.0,90.0,145.0,90.0,80.0
714,610,Axew,Dragon ,320.0,46.0,87.0,60.0,30.0,40.0,57.0
715,611,Fraxure,Dragon ,410.0,66.0,117.0,70.0,40.0,50.0,67.0
716,612,Haxorus,Dragon ,540.0,76.0,147.0,90.0,60.0,70.0,97.0
717,613,Cubchoo,Ice ,305.0,55.0,70.0,40.0,60.0,40.0,40.0
718,614,Beartic,Ice ,505.0,95.0,130.0,80.0,70.0,80.0,50.0
719,615,Cryogonal,Ice ,515.0,80.0,50.0,50.0,95.0,135.0,105.0
720,616,Shelmet,Bug ,305.0,50.0,40.0,85.0,40.0,65.0,25.0
721,617,Accelgor,Bug ,495.0,80.0,70.0,40.0,100.0,60.0,145.0
722,618,Stunfisk,Ground Electric,471.0,109.0,66.0,84.0,81.0,99.0,32.0
723,618,Stunfisk Galarian Stunfisk,Ground Steel,471.0,109.0,81.0,99.0,66.0,84.0,32.0
724,619,Mienfoo,Fighting ,350.0,45.0,85.0,50.0,55.0,50.0,65.0
725,620,Mienshao,Fighting ,510.0,65.0,125.0,60.0,95.0,60.0,105.0
726,621,Druddigon,Dragon ,485.0,77.0,120.0,90.0,60.0,90.0,48.0
727,622,Golett,Ground Ghost,303.0,59.0,74.0,50.0,35.0,50.0,35.0
728,623,Golurk,Ground Ghost,483.0,89.0,124.0,80.0,55.0,80.0,55.0
729,624,Pawniard,Dark Steel,340.0,45.0,85.0,70.0,40.0,40.0,60.0
730,625,Bisharp,Dark Steel,490.0,65.0,125.0,100.0,60.0,70.0,70.0
731,626,Bouffalant,Normal ,490.0,95.0,110.0,95.0,40.0,95.0,55.0
732,627,Rufflet,Normal Flying,350.0,70.0,83.0,50.0,37.0,50.0,60.0
733,628,Braviary,Normal Flying,510.0,100.0,123.0,75.0,57.0,75.0,80.0
734,629,Vullaby,Dark Flying,370.0,70.0,55.0,75.0,45.0,65.0,60.0
735,630,Mandibuzz,Dark Flying,510.0,110.0,65.0,105.0,55.0,95.0,80.0
736,631,Heatmor,Fire ,484.0,85.0,97.0,66.0,105.0,66.0,65.0
