,ID,NAME,TYPE,BASE STAT,HP,ATTACK,DEFENSE,SP ATTACK,SP DEFENSE,SPEED
541,494,Victini,Psychic Fire,600.0,100.0,100.0,100.0,100.0,100.0,100.0
542,495,Snivy,Grass ,308.0,45.0,45.0,55.0,45.0,55.0,63.0
543,496,Servine,Grass ,413.0,60.0,60.0,75.0,60.0,75.0,83.0
544,497,Serperior,Grass ,528.0,75.0,75.0,95.0,75.0,95.0,113.0
545,498,Tepig,Fire ,308.0,65.0,63.0,45.0,45.0,45.0,45.0
546,499,Pignite,Fire Fighting,418.0,90.0,93.0,55.0,70.0,55.0,55.0
547,500,Emboar,Fire Fighting,528.0,110.0,123.0,65.0,100.0,65.0,65.0
548,501,Oshawott,Water ,308.0,55.0,55.0,45.0,63.0,45.0,45.0
549,502,Dewott,Water ,413.0,75.0,75.0,60.0,83.0,60.0,60.0
550,503,Samurott,Water ,528.0,95.0,100.0,85.0,108.0,70.0,70.0
551,504,Patrat,Normal ,255.0,45.0,55.0,39.0,35.0,39.0,42.0
552,505,Watchog,Normal ,420.0,60.0,85.0,69.0,60.0,69.0,77.0
553,506,Lillipup,Normal ,275.0,45.0,60.0,45.0,25.0,45.0,55.0
554,507,Herdier,Normal ,370.0,65.0,80.0,65.0,35.0,65.0,60.0
555,508,Stoutland,Normal ,500.0,85.0,110.0,90.0,45.0,90.0,80.0
556,509,Purrloin,Dark ,281.0,41.0,50.0,37.0,50.0,37.0,66.0
557,510,Liepard,Dark ,446.0,64.0,88.0,50.0,88.0,50.0,106.0
558,511,Pansage,Grass ,316.0,50.0,53.0,48.0,53.0,48.0,64.0
559,512,Simisage,Grass ,498.0,75.0,98.0,63.0,98.0,63.0,101.0
560,513,Pansear,Fire ,316.0,50.0,53.0,48.0,53.0,48.0,64.0
561,514,Simisear,Fire ,498.0,75.0,98.0,63.0,98.0,63.0,101.0
562,515,Panpour,Water ,316.0,50.0,53.0,48.0,53.0,48.0,64.0
563,516,Simipour,Water ,498.0,75.0,98.0,63.0,98.0,63.0,101.0
564,517,Munna,Psychic ,292.0,76.0,25.0,45.0,67.0,55.0,24.0
565,518,Musharna,Psychic ,487.0,116.0,55.0,85.0,107.0,95.0,29.0
566,519,Pidove,Normal Flying,264.0,50.0,55.0,50.0,36.0,30.0,43.0
567,520,Tranquill,Normal Flying,358.0,62.0,77.0,62.0,50.0,42.0,65.0
568,521,Unfezant,Normal Flying,488.0,80.0,115.0,80.0,65.0,55.0,93.0
569,522,Blitzle,Electric ,295.0,45.0,60.0,32.0,50.0,32.0,76.0
570,523,Zebstrika,Electric ,497.0,75.0,100.0,63.0,80.0,63.0,116.0
571,524,Roggenrola,Rock ,280.0,55.0,75.0,85.0,25.0,25.0,15.0
572,525,Boldore,Rock ,390.0,70.0,105.0,105.0,50.0,40.0,20.0
573,526,Gigalith,Rock ,515.0,85.0,135.0,130.0,60.0,80.0,25.0
574,527,Woobat,Psychic Flying,323.0,65.0,45.0,43.0,55.0,43.0,72.0
575,528,Swoobat,Psychic Flying,425.0,67.0,57.0,55.0,77.0,55.0,114.0
576,529,Drilbur,Ground ,328.0,60.0,85.0,40.0,30.0,45.0,68.0
577,530,Excadrill,Ground Steel,508.0,110.0,135.0,60.0,50.0,65.0,88.0
578,531,Audino,Normal ,445.0,103.0,60.0,86.0,60.0,86.0,50.0
579,532,Timburr,Fighting ,305.0,75.0,80.0,55.0,25.0,35.0,35.0
580,533,Gurdurr,Fighting ,405.0,85.0,105.0,85.0,40.0,50.0,40.0
581,534,Conkeldurr,Fighting ,505.0,105.0,140.0,95.0,55.0,65.0,45.0
582,535,Tympole,Water ,294.0,50.0,50.0,40.0,50.0,40.0,64.0
583,536,Palpitoad,Water Ground,384.0,75.0,65.0,55.0,65.0,55.0,69.0
584,537,Seismitoad,Water Ground,509.0,105.0,95.0,75.0,85.0,75.0,74.0
585,538,Throh,Fighting ,465.0,120.0,100.0,85.0,30.0,85.0,45.0
586,539,Sawk,Fighting ,465.0,75.0,125.0,75.0,30.0,75.0,85.0
587,540,Sewaddle,Bug Grass,310.0,45.0,53.0,70.0,40.0,60.0,42.0
588,541,Swadloon,Bug Grass,380.0,55.0,63.0,90.0,50.0,80.0,42.0
589,542,Leavanny,Bug Grass,500.0,75.0,103.0,80.0,70.0,80.0,92.0
590,543,Venipede,Bug Poison,260.0,30.0,45.0,59.0,30.0,39.0,57.0
591,544,Whirlipede,Bug Poison,360.0,40.0,55.0,99.0,40.0,79.0,47.0
592,545,Scolipede,Bug Poison,485.0,60.0,100.0,89.0,55.0,69.0,112.0
593,546,Cottonee,Grass Fairy,280.0,40.0,27.0,60.0,37.0,50.0,66.0
594,547,Whimsicott,Grass Fairy,480.0,60.0,67.0,85.0,77.0,75.0,116.0
595,548,Petilil,Grass ,280.0,45.0,35.0,50.0,70.0,50.0,30.0
596,549,Lilligant,Grass ,480.0,70.0,60.0,75.0,110.0,75.0,90.0
597,550,Basculin Red-Striped Form,Water ,460.0,70.0,92.0,65.0,80.0,55.0,98.0
598,550,Basculin Blue-Striped Form,Water ,460.0,70.0,92.0,65.0,80.0,55.0,98.0
599,551,Sandile,Ground Dark,292.0,50.0,72.0,35.0,35.0,35.0,65.0
600,552,Krokorok,Ground Dark,351.0,60.0,82.0,45.0,45.0,45.0,74.0
601,553,Krookodile,Ground Dark,519.0,95.0,117.0,80.0,65.0,70.0,92.0
602,554,Darumaka,Fire ,315.0,70.0,90.0,45.0,15.0,45.0,50.0
603,554,Darumaka Galarian Darumaka,Ice ,315.0,70.0,90.0,45.0,15.0,45.0,50.0
604,555,Darmanitan Standard Mode,Fire ,480.0,105.0,140.0,55.0,30.0,55.0,95.0
605,555,Darmanitan Zen Mode,Fire Psychic,540.0,105.0,30.0,105.0,140.0,105.0,55.0
606,555,Darmanitan Galarian Standard Mode,Ice ,480.0,105.0,140.0,55.0,30.0,55.0,95.0
607,555,Darmanitan Galarian Zen Mode,Ice Fire,540.0,105.0,160.0,55.0,30.0,55.0,135.0
608,556,Maractus,Grass ,461.0,75.0,86.0,67.0,106.0,67.0,60.0
609,557,Dwebble,Bug Rock,325.0,50.0,65.0,85.0,35.0,35.0,55.0
610,558,Crustle,Bug Rock,485.0,70.0,105.0,125.0,65.0,75.0,45.0
611,559,Scraggy,Dark Fighting,348.0,50.0,75.0,70.0,35.0,70.0,48.0
612,560,Scrafty,Dark Fighting,488.0,65.0,90.0,115.0,45.0,115.0,58.0
613,561,Sigilyph,Psychic Flying,490.0,72.0,58.0,80.0,103.0,80.0,97.0
614,562,Yamask,Ghost ,303.0,38.0,30.0,85.0,55.0,65.0,30.0
615,562,Yamask Galarian Yamask,Ground Ghost,303.0,38.0,55.0,85.0,30.0,65.0,30.0
616,563,Cofagrigus,Ghost ,483.0,58.0,50.0,145.0,95.0,105.0,30.0
617,564,Tirtouga,Water Rock,355.0,54.0,78.0,103.0,53.0,45.0,22.0
618,565,Carracosta,Water Rock,495.0,74.0,108.0,133.0,83.0,65.0,32.0
619,566,Archen,Rock Flying,401.0,55.0,112.0,45.0,74.0,45.0,70.0
620,567,Archeops,Rock Flying,567.0,75.0,140.0,65.0,112.0,65.0,110.0
621,568,Trubbish,Poison ,329.0,50.0,50.0,62.0,40.0,62.0,65.0
622,569,Garbodor,Poison ,474.0,80.0,95.0,82.0,60.0,82.0,75.0
623,570,Zorua,Dark ,330.0,40.0,65.0,40.0,80.0,40.0,65.0
624,571,Zoroark,Dark ,510.0,60.0,105.0,60.0,120.0,60.0,105.0
625,572,Minccino,Normal ,300.0,55.0,50.0,40.0,40.0,40.0,75.0
626,573,Cinccino,Normal ,470.0,75.0,95.0,60.0,65.0,60.0,115.0
627,574,Gothita,Psychic ,290.0,45.0,30.0,50.0,55.0,65.0,45.0
628,575,Gothorita,Psychic ,390.0,60.0,45.0,70.0,75.0,85.0,55.0
629,576,Gothitelle,Psychic ,490.0,70.0,55.0,95.0,95.0,110.0,65.0
