,ID,NAME,TYPE,BASE STAT,HP,ATTACK,DEFENSE,SP ATTACK,SP DEFENSE,SPEED
587,494,Victini,Psychic Fire,600.0,100.0,100.0,100.0,100.0,100.0,100.0
588,495,Snivy,Grass ,308.0,45.0,45.0,55.0,45.0,55.0,63.0
589,496,Servine,Grass ,413.0,60.0,60.0,75.0,60.0,75.0,83.0
590,497,Serperior,Grass ,528.0,75.0,75.0,95.0,75.0,95.0,113.0
591,498,Tepig,Fire ,308.0,65.0,63.0,45.0,45.0,45.0,45.0
592,499,Pignite,Fire Fighting,418.0,90.0,93.0,55.0,70.0,55.0,55.0
593,500,Emboar,Fire Fighting,528.0,110.0,123.0,65.0,100.0,65.0,65.0
594,501,Oshawott,Water ,308.0,55.0,55.0,45.0,63.0,45.0,45.0
595,502,Dewott,Water ,413.0,75.0,75.0,60.0,83.0,60.0,60.0
596,503,Samurott,Water ,528.0,95.0,100.0,85.0,108.0,70.0,70.0
597,504,Patrat,Normal ,255.0,45.0,55.0,39.0,35.0,39.0,42.0
598,505,Watchog,Normal ,420.0,60.0,85.0,69.0,60.0,69.0,77.0
599,506,Lillipup,Normal ,275.0,45.0,60.0,45.0,25.0,45.0,55.0
600,507,Herdier,Normal ,370.0,65.0,80.0,65.0,35.0,65.0,60.0
601,508,Stoutland,Normal ,500.0,85.0,110.0,90.0,45.0,90.0,80.0
602,509,Purrloin,Dark ,281.0,41.0,50.0,37.0,50.0,37.0,66.0
603,510,Liepard,Dark ,446.0,64.0,88.0,50.0,88.0,50.0,106.0
604,511,Pansage,Grass ,316.0,50.0,53.0,48.0,53.0,48.0,64.0
605,512,Simisage,Grass ,498.0,75.0,98.0,63.0,98.0,63.0,101.0
606,513,Pansear,Fire ,316.0,50.0,53.0,48.0,53.0,48.0,64.0
607,514,Simisear,Fire ,498.0,75.0,98.0,63.0,98.0,63.0,101.0
608,515,Panpour,Water ,316.0,50.0,53.0,48.0,53.0,48.0,64.0
609,516,Simipour,Water ,498.0,75.0,98.0,63.0,98.0,63.0,101.0
610,517,Munna,Psychic ,292.0,76.0,25.0,45.0,67.0,55.0,24.0
611,518,Musharna,Psychic ,487.0,116.0,55.0,85.0,107.0,95.0,29.0
612,519,Pidove,Normal Flying,264.0,50.0,55.0,50.0,36.0,30.0,43.0
613,520,Tranquill,Normal Flying,358.0,62.0,77.0,62.0,50.0,42.0,65.0
614,521,Unfezant,Normal Flying,488.0,80.0,115.0,80.0,65.0,55.0,93.0
615,522,Blitzle,Electric ,295.0,45.0,60.0,32.0,50.0,32.0,76.0
616,523,Zebstrika,Electric ,497.0,75.0,100.0,63.0,80.0,63.0,116.0
617,524,Roggenrola,Rock ,280.0,55.0,75.0,85.0,25.0,25.0,15.0
618,525,Boldore,Rock ,390.0,70.0,105.0,105.0,50.0,40.0,20.0
619,526,Gigalith,Rock ,515.0,85.0,135.0,130.0,60.0,80.0,25.0
620,527,Woobat,Psychic Flying,323.0,65.0,45.0,43.0,55.0,43.0,72.0
621,528,Swoobat,Psychic Flying,425.0,67.0,57.0,55.0,77.0,55.0,114.0
622,529,Drilbur,Ground ,328.0,60.0,85.0,40.0,30.0,45.0,68.0
623,530,Excadrill,Ground Steel,508.0,110.0,135.0,60.0,50.0,65.0,88.0
624,531,Audino,Normal ,445.0,103.0,60.0,86.0,60.0,86.0,50.0
625,531,Audino Mega Audino,Normal Fairy,545.0,103.0,60.0,126.0,80.0,126.0,50.0
626,532,Timburr,Fighting ,305.0,75.0,80.0,55.0,25.0,35.0,35.0
627,533,Gurdurr,Fighting ,405.0,85.0,105.0,85.0,40.0,50.0,40.0
628,534,Conkeldurr,Fighting ,505.0,105.0,140.0,95.0,55.0,65.0,45.0
629,535,Tympole,Water ,294.0,50.0,50.0,40.0,50.0,40.0,64.0
630,536,Palpitoad,Water Ground,384.0,75.0,65.0,55.0,65.0,55.0,69.0
631,537,Seismitoad,Water Ground,509.0,105.0,95.0,75.0,85.0,75.0,74.0
632,538,Throh,Fighting ,465.0,120.0,100.0,85.0,30.0,85.0,45.0
633,539,Sawk,Fighting ,465.0,75.0,125.0,75.0,30.0,75.0,85.0
634,540,Sewaddle,Bug Grass,310.0,45.0,53.0,70.0,40.0,60.0,42.0
635,541,Swadloon,Bug Grass,380.0,55.0,63.0,90.0,50.0,80.0,42.0
636,542,Leavanny,Bug Grass,500.0,75.0,103.0,80.0,70.0,80.0,92.0
637,543,Venipede,Bug Poison,260.0,30.0,45.0,59.0,30.0,39.0,57.0
638,544,Whirlipede,Bug Poison,360.0,40.0,55.0,99.0,40.0,79.0,47.0
639,545,Scolipede,Bug Poison,485.0,60.0,100.0,89.0,55.0,69.0,112.0
640,546,Cottonee,Grass Fairy,280.0,40.0,27.0,60.0,37.0,50.0,66.0
641,547,Whimsicott,Grass Fairy,480.0,60.0,67.0,85.0,77.0,75.0,116.0
642,548,Petilil,Grass ,280.0,45.0,35.0,50.0,70.0,50.0,30.0
643,549,Lilligant,Grass ,480.0,70.0,60.0,75.0,110.0,75.0,90.0
644,550,Basculin Red-Striped Form,Water ,460.0,70.0,92.0,65.0,80.0,55.0,98.0
645,550,Basculin Blue-Striped Form,Water ,460.0,70.0,92.0,65.0,80.0,55.0,98.0
646,551,Sandile,Ground Dark,292.0,50.0,72.0,35.0,35.0,35.0,65.0
647,552,Krokorok,Ground Dark,351.0,60.0,82.0,45.0,45.0,45.0,74.0
648,553,Krookodile,Ground Dark,519.0,95.0,117.0,80.0,65.0,70.0,92.0
649,554,Darumaka,Fire ,315.0,70.0,90.0,45.0,15.0,45.0,50.0
650,554,Darumaka Galarian Darumaka,Ice ,315.0,70.0,90.0,45.0,15.0,45.0,50.0
651,555,Darmanitan Standard Mode,Fire ,480.0,105.0,140.0,55.0,30.0,55.0,95.0
652,555,Darmanitan Zen Mode,Fire Psychic,540.0,105.0,30.0,105.0,140.0,105.0,55.0
653,555,Darmanitan Galarian Standard Mode,Ice ,480.0,105.0,140.0,55.0,30.0,55.0,95.0
654,555,Darmanitan Galarian Zen Mode,Ice Fire,540.0,105.0,160.0,55.0,30.0,55.0,135.0
655,556,Maractus,Grass ,461.0,75.0,86.0,67.0,106.0,67.0,60.0
656,557,Dwebble,Bug Rock,325.0,50.0,65.0,85.0,35.0,35.0,55.0
657,558,Crustle,Bug Rock,485.0,70.0,105.0,125.0,65.0,75.0,45.0
658,559,Scraggy,Dark Fighting,348.0,50.0,75.0,70.0,35.0,70.0,48.0
659,560,Scrafty,Dark Fighting,488.0,65.0,90.0,115.0,45.0,115.0,58.0
660,561,Sigilyph,Psychic Flying,490.0,72.0,58.0,80.0,103.0,80.0,97.0
