,ID,NAME,TYPE,BASE STAT,HP,ATTACK,DEFENSE,SP ATTACK,SP DEFENSE,SPEED
0,1,Bulbasaur,Grass Poison,318.0,45.0,49.0,49.0,65.0,65.0,45.0
1,2,Ivysaur,Grass Poison,405.0,60.0,62.0,63.0,80.0,80.0,60.0
2,3,Venusaur,Grass Poison,525.0,80.0,82.0,83.0,100.0,100.0,80.0
3,4,Charmander,Fire ,309.0,39.0,52.0,43.0,60.0,50.0,65.0
4,5,Charmeleon,Fire ,405.0,58.0,64.0,58.0,80.0,65.0,80.0
5,6,Charizard,Fire Flying,534.0,78.0,84.0,78.0,109.0,85.0,100.0
6,7,Squirtle,Water ,314.0,44.0,48.0,65.0,50.0,64.0,43.0
7,8,Wartortle,Water ,405.0,59.0,63.0,80.0,65.0,80.0,58.0
8,9,Blastoise,Water ,530.0,79.0,83.0,100.0,85.0,105.0,78.0
9,10,Caterpie,Bug ,195.0,45.0,30.0,35.0,20.0,20.0,45.0
10,11,Metapod,Bug ,205.0,50.0,20.0,55.0,25.0,25.0,30.0
11,12,Butterfree,Bug Flying,395.0,60.0,45.0,50.0,90.0,80.0,70.0
12,13,Weedle,Bug Poison,195.0,40.0,35.0,30.0,20.0,20.0,50.0
13,14,Kakuna,Bug Poison,205.0,45.0,25.0,50.0,25.0,25.0,35.0
14,15,Beedrill,Bug Poison,395.0,65.0,90.0,40.0,45.0,80.0,75.0
15,16,Pidgey,Normal Flying,251.0,40.0,45.0,40.0,35.0,35.0,56.0
16,17,Pidgeotto,Normal Flying,349.0,63.0,60.0,55.0,50.0,50.0,71.0
17,18,Pidgeot,Normal Flying,479.0,83.0,80.0,75.0,70.0,70.0,101.0
18,19,Rattata,Normal ,253.0,30.0,56.0,35.0,25.0,35.0,72.0
19,19,Rattata Alolan Rattata,Dark Normal,253.0,30.0,56.0,35.0,25.0,35.0,72.0
20,20,Raticate,Normal ,413.0,55.0,81.0,60.0,50.0,70.0,97.0
21,20,Raticate Alolan Raticate,Dark Normal,413.0,75.0,71.0,70.0,40.0,80.0,77.0
22,21,Spearow,Normal Flying,262.0,40.0,60.0,30.0,31.0,31.0,70.0
23,22,Fearow,Normal Flying,442.0,65.0,90.0,65.0,61.0,61.0,100.0
24,23,Ekans,Poison ,288.0,35.0,60.0,44.0,40.0,54.0,55.0
25,24,Arbok,Poison ,448.0,60.0,95.0,69.0,65.0,79.0,80.0
26,25,Pikachu,Electric ,320.0,35.0,55.0,40.0,50.0,50.0,90.0
27,25,Pikachu Partner Pikachu,Electric ,430.0,45.0,80.0,50.0,75.0,60.0,120.0
28,26,Raichu,Electric ,485.0,60.0,90.0,55.0,90.0,80.0,110.0
29,26,Raichu Alolan Raichu,Electric Psychic,485.0,60.0,85.0,50.0,95.0,85.0,110.0
30,27,Sandshrew,Ground ,300.0,50.0,75.0,85.0,20.0,30.0,40.0
31,27,Sandshrew Alolan Sandshrew,Ice Steel,300.0,50.0,75.0,90.0,10.0,35.0,40.0
32,28,Sandslash,Ground ,450.0,75.0,100.0,110.0,45.0,55.0,65.0
33,28,Sandslash Alolan Sandslash,Ice Steel,450.0,75.0,100.0,120.0,25.0,65.0,65.0
34,29,Nidoran♀,Poison ,275.0,55.0,47.0,52.0,40.0,40.0,41.0
35,30,Nidorina,Poison ,365.0,70.0,62.0,67.0,55.0,55.0,56.0
36,31,Nidoqueen,Poison Ground,505.0,90.0,92.0,87.0,75.0,85.0,76.0
37,32,Nidoran♂,Poison ,273.0,46.0,57.0,40.0,40.0,40.0,50.0
38,33,Nidorino,Poison ,365.0,61.0,72.0,57.0,55.0,55.0,65.0
39,34,Nidoking,Poison Ground,505.0,81.0,102.0,77.0,85.0,75.0,85.0
40,35,Clefairy,Fairy ,323.0,70.0,45.0,48.0,60.0,65.0,35.0
41,36,Clefable,Fairy ,483.0,95.0,70.0,73.0,95.0,90.0,60.0
42,37,Vulpix,Fire ,299.0,38.0,41.0,40.0,50.0,65.0,65.0
43,37,Vulpix Alolan Vulpix,Ice ,299.0,38.0,41.0,40.0,50.0,65.0,65.0
44,38,Ninetales,Fire ,505.0,73.0,76.0,75.0,81.0,100.0,100.0
45,38,Ninetales Alolan Ninetales,Ice Fairy,505.0,73.0,67.0,75.0,81.0,100.0,109.0
46,39,Jigglypuff,Normal Fairy,270.0,115.0,45.0,20.0,45.0,25.0,20.0
47,40,Wigglytuff,Normal Fairy,435.0,140.0,70.0,45.0,85.0,50.0,45.0
48,41,Zubat,Poison Flying,245.0,40.0,45.0,35.0,30.0,40.0,55.0
49,42,Golbat,Poison Flying,455.0,75.0,80.0,70.0,65.0,75.0,90.0
50,43,Oddish,Grass Poison,320.0,45.0,50.0,55.0,75.0,65.0,30.0
51,44,Gloom,Grass Poison,395.0,60.0,65.0,70.0,85.0,75.0,40.0
52,45,Vileplume,Grass Poison,490.0,75.0,80.0,85.0,110.0,90.0,50.0
53,46,Paras,Bug Grass,285.0,35.0,70.0,55.0,45.0,55.0,25.0
54,47,Parasect,Bug Grass,405.0,60.0,95.0,80.0,60.0,80.0,30.0
55,48,Venonat,Bug Poison,305.0,60.0,55.0,50.0,40.0,55.0,45.0
56,49,Venomoth,Bug Poison,450.0,70.0,65.0,60.0,90.0,75.0,90.0
57,50,Diglett,Ground ,265.0,10.0,55.0,25.0,35.0,45.0,95.0
58,50,Diglett Alolan Diglett,Ground Steel,265.0,10.0,55.0,30.0,35.0,45.0,90.0
59,51,Dugtrio,Ground ,425.0,35.0,100.0,50.0,50.0,70.0,120.0
60,51,Dugtrio Alolan Dugtrio,Ground Steel,425.0,35.0,100.0,60.0,50.0,70.0,110.0
61,52,Meowth,Normal ,290.0,40.0,45.0,35.0,40.0,40.0,90.0
62,52,Meowth Alolan Meowth,Dark ,290.0,40.0,35.0,35.0,50.0,40.0,90.0
64,53,Persian,Normal ,440.0,65.0,70.0,60.0,65.0,65.0,115.0
65,53,Persian Alolan Persian,Dark ,440.0,65.0,60.0,60.0,75.0,65.0,115.0
66,54,Psyduck,Water ,320.0,50.0,52.0,48.0,65.0,50.0,55.0
67,55,Golduck,Water ,500.0,80.0,82.0,78.0,95.0,80.0,85.0
68,56,Mankey,Fighting ,305.0,40.0,80.0,35.0,35.0,45.0,70.0
69,57,Primeape,Fighting ,455.0,65.0,105.0,60.0,60.0,70.0,95.0
70,58,Growlithe,Fire ,350.0,55.0,70.0,45.0,70.0,50.0,60.0
71,59,Arcanine,Fire ,555.0,90.0,110.0,80.0,100.0,80.0,95.0
